order_id,amount,order_date,customer_name,payment_mode
ORD1078,7499,2026-08-06,Riya Gupta,NETBANKING
ORD1079,1299,2026-08-05,Ananya Sharma,NETBANKING
ORD1080,1299,2026-08-12,Ananya Iyer,NETBANKING
ORD1081,1299,2026-08-07,Riya Patel,NETBANKING
ORD1082,499,2026-08-01,Saanvi Nair,NETBANKING
ORD1083,799,2026-08-05,Ira Gupta,NETBANKING
ORD1084,299,2026-08-11,Vivaan Sharma,CARD
ORD1085,499,2026-08-15,Saanvi Malhotra,UPI
ORD1086,7499,2026-08-15,Kabir Joshi,UPI
ORD1087,7499,2026-08-05,Diya Sharma,NETBANKING
ORD1088,499,2026-08-15,Saanvi Sharma,CARD
ORD1089,1299,2026-08-06,Rohan Malhotra,UPI
ORD1090,299,2026-08-08,Ira Malhotra,NETBANKING
ORD1091,999,2026-08-14,Kabir Kapoor,UPI
ORD1092,7499,2026-08-14,Ananya Joshi,NETBANKING
ORD1093,799,2026-08-13,Riya Nair,UPI
ORD1094,1599,2026-08-02,Riya Kapoor,NETBANKING
ORD1095,1599,2026-08-04,Ananya Kapoor,NETBANKING
ORD1096,9999,2026-08-20,Rohan Sharma,CARD
ORD1097,1599,2026-08-08,Arjun Iyer,NETBANKING
ORD1098,3499,2026-08-07,Meera Iyer,CARD
ORD1099,499,2026-08-01,Saanvi Sharma,UPI
ORD1100,1299,2026-08-13,Meera Reddy,CARD
